content,group,title,title_digist,update_date
https://www.douban.com/group/topic/167479577/,深圳租房,【整租或分租.长租或短租.宝安.西乡金碧花园】三室两厅两卫一厨（一楼带一个独立使用的小院），整租或分租、长租或短租皆可。个人直租，非二房东,【整租或分租.长租或短租.宝安.西乡金碧花园】三室...,今天16:07
https://www.douban.com/group/topic/167478300/,深圳租房-宝安租房...,西乡宝乐新村 一房一厅大单间1780起房东直租 中介勿扰 不要错过新年好房源 新年快乐 鼠您租得好房源,西乡宝乐新村 一房一厅大单间1780起房东直租 中介...,今天15:57
https://www.douban.com/group/topic/167464938/,深圳南山租房团,急转|南山地铁口 2200高性价比 高层复式loft公寓,急转|南山地铁口 2200高性价比 高层复式loft公寓,今天14:04
https://www.douban.com/group/topic/167464515/,深圳租房-南山租房...,急转| 南山地铁口附近 2200高性价比高层复式loft,急转| 南山地铁口附近 2200高性价比高层复式loft,今天14:01
https://www.douban.com/group/topic/167463630/,深圳租房-南山租房...,急转｜南山地铁口附近 高层复式loft,急转｜南山地铁口附近 高层复式loft,今天13:52
https://www.douban.com/group/topic/167463028/,深圳租房,急转｜南山地铁口附近 高层复式loft侧卧,急转｜南山地铁口附近 高层复式loft侧卧,今天13:47
https://www.douban.com/group/topic/167462943/,租房在深圳,11号线福永地铁口 精装修一房一厅1380 首月只需690元,11号线福永地铁口 精装修一房一厅1380 首月只需690元,今天13:46
https://www.douban.com/group/topic/167457870/,深圳租房-南山租房...,桃源地铁站A出口，次卧独立大阳台，1650,桃源地铁站A出口，次卧独立大阳台，1650,今天13:01
https://www.douban.com/group/topic/167437171/,初来咋到（深圳租房）, 【75平米两室一厅小区房】5号线兴东站100米，直达西丽、TCL15分钟，科技园25分钟，驾车停车位免费！ , 【75平米两室一厅小区房】5号线兴东站100米，直达...,今天10:09
https://www.douban.com/group/topic/167437003/,深圳南山租房团,【75平米两室一厅小区房】5号线兴东站100米，直达西丽、TCL15分钟，科技园25分钟，驾车停车位免费！,【75平米两室一厅小区房】5号线兴东站100米，直达...,今天10:08
https://www.douban.com/group/topic/167430209/,深圳租房,【兴东站100米小区房】45㎡一室一厅带阳台，燃气，民水民燃高档配置房，南山宝安临界点，通勤方便,【兴东站100米小区房】45㎡一室一厅带阳台，燃气，...,今天08:55
https://www.douban.com/group/topic/167416625/,深圳招聘,互联网招海归小伙伴,互联网招海归小伙伴,昨天23:49
https://www.douban.com/group/topic/167409930/,深圳宝安租房(推荐...,转租：固戍地铁口精装一房一厅1680起,转租：固戍地铁口精装一房一厅1680起,昨天22:40
https://www.douban.com/group/topic/166776582/,深圳租房（中介慎入）,南山科技园附近，公寓一房出租，装修很漂亮，价格很便宜，可长租，也可以短租，不收中介费欧，需要加我微信15577159623,南山科技园附近，公寓一房出租，装修很漂亮，价格...,03-05
https://www.douban.com/group/topic/167248738/,深圳租房-南山租房...,仓前锦福苑小区电梯房,仓前锦福苑小区电梯房,03-10
https://www.douban.com/group/topic/167127623/,深圳南山租房团,大新地铁口 小区电梯房 主卧带独卫2400，民水民电,大新地铁口 小区电梯房 主卧带独卫2400，民水民电,03-09
https://www.douban.com/group/topic/166834599/,深圳南山租房团,【大新】小区主卧带独卫 2500/月 民水民电,【大新】小区主卧带独卫 2500/月 民水民电,03-06
https://www.douban.com/group/topic/167357291/,深圳租房,南山同乐花园公寓，一房一厅急转，套内超40平，房租仅需2600元！！！,南山同乐花园公寓，一房一厅急转，套内超40平，房...,昨天14:29
https://www.douban.com/group/topic/167352400/,深圳南山租房团,前海明珠三房招租可以整租，也可以分租。,前海明珠三房招租可以整租，也可以分租。,昨天13:47
https://www.douban.com/group/topic/167352207/,深圳租房-南山租房...,【南山前海两室一厅整租6300/月】9号线荔林站心语家园【家电齐全】,【南山前海两室一厅整租6300/月】9号线荔林站心语...,昨天13:45
https://www.douban.com/group/topic/167020070/,深圳南山租房团,南山桃园双地铁学府路金宝花园单间大主卧只需要1850  房东直租、,南山桃园双地铁学府路金宝花园单间大主卧只需要185...,03-08
https://www.douban.com/group/topic/167116394/,成都高新区租房交流,龙腾苑 近华府大道 正成南郡loft套二 旋转楼梯更巴适 可长租可短租 2300就可以拎包入住 付款方式灵活,龙腾苑 近华府大道 正成南郡loft套二 旋转楼梯更巴...,03-09
https://www.douban.com/group/topic/166911001/,成都青年租房,华府大道 龙腾苑 套二出租 价格2100 看房联系18584851665,华府大道 龙腾苑 套二出租 价格2100 看房联系18584...,03-07
https://www.douban.com/group/topic/167075373/,大地行旅,滹沱河流域,滹沱河流域,03-08
